name,salary
"Marreese Speights",2721255
"Dahntay Jones",2700000
"Antonio McDyess",2640000
"DeMar DeRozan",2625000
"Roy Hibbert",2588590
"Brandon Knight",2563320
"Ersan Ilyasova",2541000
"Gordon Hayward",2532960
"Aaron Gray",2500000
"Kenyon Martin",2500000
"Jason Smith",2500000
"DeShawn Stevenson",2500000
"Reggie Williams",2500000
"Brandon Jennings",2493720
"Ryan Hollins",2483333
"JaVale McGee",2462400
"Quentin Richardson",2446600
"Paul George",2406240
"Louis Amundson",2403000
"J.R. Smith",2382353
"Terrence Williams",2369040
"Kemba Walker",2356320
"J.J. Hickson",2354537
"Cole Aldrich",2286000
"Gerald Henderson",2250600
"Anthony Parker",2250000
"Keyon Dooling",2246400
"Ben Wallace",2246400
"Ryan Anderson",2244601
"Jimmer Fredette",2238360
"Courtney Lee",2225093
"Kosta Koufos",2203792
"Rudy Fernandez",2180443
"Xavier Henry",2171640
"Nicolas Batum",2155365
"Josh Howard",2150000
"Tyler Hansbrough",2138040
"Klay Thompson",2126520
"Goran Dragic",2108000
"George Hill",2086360
"Ed Davis",2063040
"Anthony Tolliver",2050000
"Darrell Arthur",2027119
"Alec Burks",2020200
"Donte Greene",2015896
"D.J. White",2001167
"Chauncey Billups",2000032
"Dante Cunningham",2000000
"Earl Watson",2000000
"Patrick Patterson",1959960
"Austin Daye",1929600
"Markieff Morris",1919160
"Matt Barnes",1906200
"Larry Sanders",1861920
"Omer Asik",1857500
"James Johnson",1833120
"Marcus Morris",1823280
"Luke Babbitt",1768800
"Jrue Holiday",1741440
"Kawhi Leonard",1731960
"Kevin Seraphin",1680360
"Renaldo Balkman",1675000
"Ty Lawson",1654440
"Nikola Vucevic",1645400
"Eric Bledsoe",1596360
"Jeff Teague",1579920
"Gustavo Ayon",1567500
"Iman Shumpert",1563120
"Avery Bradley",1524480
"Eric Maynor",1516680
"Jeff Ayres",1500000
"Gary Forbes",1500000
"James Jones",1500000
"Greg Oden",1500000
"Sebastian Telfair",1500000
"Chris Singleton",1485000
"James Anderson",1463520
"Darren Collison",1455960
"Tobias Harris",1418160
"Craig Brackins",1404960
"Tony Battie",1352181
"Mike Bibby",1352181
"Brian Cardinal",1352181
"Anthony Carter",1352181
"Jason Collins",1352181
"Baron Davis",1352181
"Juwan Howard",1352181
"Jamaal Magloire",1352181
"Tracy McGrady",1352181
"Troy Murphy",1352181
"Vladimir Radmanovic",1352181
"Brian Scalabrine",1352181
"Jerry Stackhouse",1352181
"Elliot Williams",1348800
"Omri Casspi",1341960
"Michael Redd",1308506
"Nolan Smith",1306920
"Hamed Haddadi",1300000
"Trevor Booker",1294920
"Serge Ibaka",1288200
"Byron Mullens",1288200
"Kenneth Faried",1254720
"Damion James",1243080
"Rodrigue Beaubois",1236720
"Rasual Butler",1229255
"Eddy Curry",1229255
"Reggie Evans",1229255
"Jared Jeffries",1229255
"Brian Cook",1223166
"Marquis Daniels",1223166
"Maurice Evans",1223166
"Willie Green",1223166
"Jason Kapono",1223166
"Jannero Pargo",1223166
"Sasha Pavlovic",1223166
"Mickael Pietrus",1223166
"Royal Ivey",1200000
"Taj Gibson",1195680
"Dominique Jones",1193280
"Earl Clark",1160000
"Reggie Jackson",1156320
"Wayne Ellington",1154040
"Quincy Pondexter",1153800
"T.J. Ford",1146337
"Roger Mason",1146337
"Delonte West",1146337
"Damien Wilkins",1146337
"Toney Douglas",1145640
"Joel Przybilla",1145027
"Jordan Crawford",1120440
"Greivis Vasquez",1113600
"MarShon Brooks",1110120
"Daniel Orton",1105560
