team,seas,avg_age
"Phoenix Suns",2005-06,26.94
"Phoenix Suns",2006-07,29.14
"Phoenix Suns",2007-08,29.13
"Phoenix Suns",2008-09,27.11
"Phoenix Suns",2009-10,26.87
"Phoenix Suns",2010-11,27.68
"Phoenix Suns",2011-12,28.54
"Portland Trail Blazers",2001-02,28.73
"Portland Trail Blazers",2002-03,28.73
"Portland Trail Blazers",2003-04,26.29
"Portland Trail Blazers",2004-05,25.71
"Portland Trail Blazers",2005-06,25.06
"Portland Trail Blazers",2006-07,24.71
"Portland Trail Blazers",2007-08,23.86
"Portland Trail Blazers",2008-09,24.2
"Portland Trail Blazers",2009-10,25.79
"Portland Trail Blazers",2010-11,27.44
"Portland Trail Blazers",2011-12,26.72
"Sacramento Kings",2001-02,27.07
"Sacramento Kings",2002-03,27.5
"Sacramento Kings",2003-04,28.77
"Sacramento Kings",2004-05,27.39
"Sacramento Kings",2005-06,26.63
"Sacramento Kings",2006-07,27.2
"Sacramento Kings",2007-08,27
"Sacramento Kings",2008-09,26.81
"Sacramento Kings",2009-10,25.35
"Sacramento Kings",2010-11,24.75
"Sacramento Kings",2011-12,24.4
"San Antonio Spurs",2001-02,28.87
"San Antonio Spurs",2002-03,29.53
"San Antonio Spurs",2003-04,28.06
"San Antonio Spurs",2004-05,28.41
"San Antonio Spurs",2005-06,29.4
"San Antonio Spurs",2006-07,29.44
"San Antonio Spurs",2007-08,29.14
"San Antonio Spurs",2008-09,28.7
"San Antonio Spurs",2009-10,28.12
"San Antonio Spurs",2010-11,27.45
"San Antonio Spurs",2011-12,26.95
"Toronto Raptors",2001-02,28.24
"Toronto Raptors",2002-03,27.37
"Toronto Raptors",2003-04,27.83
"Toronto Raptors",2004-05,27.13
"Toronto Raptors",2005-06,27.82
"Toronto Raptors",2006-07,25.82
"Toronto Raptors",2007-08,27.35
"Toronto Raptors",2008-09,26.32
"Toronto Raptors",2009-10,25.67
"Toronto Raptors",2010-11,25.68
"Toronto Raptors",2011-12,26.78
"Utah Jazz",2001-02,28.79
"Utah Jazz",2002-03,29.54
"Utah Jazz",2003-04,25.94
"Utah Jazz",2004-05,25.76
"Utah Jazz",2005-06,25.13
"Utah Jazz",2006-07,25
"Utah Jazz",2007-08,25.27
"Utah Jazz",2008-09,25.67
"Utah Jazz",2009-10,24.67
"Utah Jazz",2010-11,26.29
"Utah Jazz",2011-12,26.13
"Washington Wizards",2001-02,26.36
"Washington Wizards",2002-03,27.25
"Washington Wizards",2003-04,26.12
"Washington Wizards",2004-05,25.5
"Washington Wizards",2005-06,26.53
"Washington Wizards",2006-07,26.25
"Washington Wizards",2007-08,26.23
"Washington Wizards",2008-09,26.82
"Washington Wizards",2009-10,27.21
"Washington Wizards",2010-11,25.91
"Washington Wizards",2011-12,26.05
