team_url,season,rank,url,name,salary
/teams/CHA/,2006-07,16,/players/a/anderal01.html,Alan Anderson,"$102,131"
/teams/CHA/,2006-07,17,/players/b/burleke01.html,Kevin Burleson,"$70,000"
/teams/CHA/,2007-08,1,/players/r/richaja01.html,Jason Richardson,"$11,111,110"
/teams/CHA/,2007-08,2,/players/w/wallage01.html,Gerald Wallace,"$9,500,000"
/teams/CHA/,2007-08,3,/players/m/mohamna01.html,Nazr Mohammed,"$5,632,200"
/teams/CHA/,2007-08,4,/players/c/carroma01.html,Matt Carroll,"$5,450,000"
/teams/CHA/,2007-08,5,/players/o/okafoem01.html,Emeka Okafor,"$5,427,307"
/teams/CHA/,2007-08,6,/players/m/morriad01.html,Adam Morrison,"$3,887,880"
/teams/CHA/,2007-08,7,/players/f/feltora01.html,Raymond Felton,"$3,274,440"
/teams/CHA/,2007-08,8,/players/h/harriot01.html,Othella Harrington,"$2,376,000"
/teams/CHA/,2007-08,9,/players/m/mayse01.html,Sean May,"$1,862,160"
/teams/CHA/,2007-08,10,/players/a/anderde01.html,Derek Anderson,"$1,219,590"
/teams/CHA/,2007-08,11,/players/m/mcinnje01.html,Jeff McInnis,"$1,219,590"
/teams/CHA/,2007-08,12,/players/d/dudleja01.html,Jared Dudley,"$1,137,000"
/teams/CHA/,2007-08,13,/players/h/holliry01.html,Ryan Hollins,"$687,456"
/teams/CHA/,2007-08,14,/players/b/boykiea01.html,Earl Boykins,"$533,572"
/teams/CHA/,2007-08,15,/players/d/davidje01.html,Jermareo Davidson,"$427,163"
/teams/CHH/,1995-96,1,/players/j/johnsla02.html,Larry Johnson,"$4,295,000"
/teams/CHH/,1995-96,2,/players/r/ricegl01.html,Glen Rice,"$3,302,000"
/teams/CHH/,1995-96,3,/players/g/gillke01.html,Kendall Gill,"$3,200,000"
/teams/CHH/,1995-96,4,/players/p/parisro01.html,Robert Parish,"$2,500,000"
/teams/CHH/,1995-96,5,/players/r/reevekh01.html,Khalid Reeves,"$1,602,000"
